text,rating,label,reason
Buy now and use promo code SAVE2045. Click the link for a limited offer.,5,1,spam
The mansion was fresh. The walking route was amazing and I loved the entire experience.,2,1,rating_mismatch
The park was confusing. The staff was terrible and I would never recommend this place.,5,1,rating_mismatch
"The food court was acceptable overall. The environment was average, and the visit matched the expected duration.",3,0,valid
The temple was disappointing. The information boards was terrible and I would never recommend this place.,5,1,rating_mismatch
The gallery was dirty. The information boards was terrible and I would never recommend this place.,5,1,rating_mismatch
nice nice nice nice,5,1,repeated
A helpful experience with interesting service. The visit matched the information shown in the app.,5,0,valid
The street market was helpful. The facilities was amazing and I loved the entire experience.,1,1,rating_mismatch
A friendly experience with beautiful exhibition. The visit matched the information shown in the app.,4,0,valid
"The cultural centre had potential, but the food was confusing and the experience was overpriced.",1,0,valid
The cultural centre was memorable. The food was amazing and I loved the entire experience.,2,1,rating_mismatch
nice nice nice nice,4,1,repeated
The food court was worth visiting because the overall experience was friendly. The overall experience was impressive.,5,0,valid
Great place,5,1,too_short
"I enjoyed the heritage site. The facilities was friendly, and the location was easy to visit.",5,0,valid
The heritage site was fresh. The walking route was amazing and I loved the entire experience.,1,1,rating_mismatch
"The visit was below expectations. The architecture was crowded, although the location was easy to find.",1,0,valid
"The temple was acceptable overall. The seating area was average, and the visit matched the expected duration.",3,0,valid
Terrible,5,1,too_short
The heritage site was memorable. The food was amazing and I loved the entire experience.,2,1,rating_mismatch
"The gallery was acceptable overall. The staff was average, and the visit matched the expected duration.",3,0,valid
The restaurant was worth visiting because the environment was clean. The overall experience was fresh.,5,0,valid
The architecture was stale and the park was confusing. I would not return during a busy period.,2,0,valid
The information boards was comfortable and the street market felt friendly. I would include it in another trip.,5,0,valid
Not good,1,1,too_short
The heritage site was overpriced. The information boards was terrible and I would never recommend this place.,5,1,rating_mismatch
The street market was helpful. The food was amazing and I loved the entire experience.,1,1,rating_mismatch
The street market was interesting. The information boards was amazing and I loved the entire experience.,1,1,rating_mismatch
Very good,3,1,too_short
nice nice nice nice,2,1,repeated
The food was beautiful and the street market felt comfortable. I would include it in another trip.,4,0,valid
Visit my website http://cheap-deal1879.example for discount vouchers and free gifts.,4,1,spam
"The food court had potential, but the staff was slow and the experience was overpriced.",2,0,valid
"The waterfront was acceptable overall. The walking route was average, and the visit matched the expected duration.",3,0,valid
The walking route was clean and the cafe felt enjoyable. I would include it in another trip.,5,0,valid
Contact WhatsApp 0156059101 for the best promotion and cheap package.,5,1,spam
"The restaurant was acceptable overall. The environment was average, and the visit matched the expected duration.",3,0,valid
Good,3,1,too_short
good good good good good,4,1,repeated
nice nice nice nice,4,1,repeated
"The street market was acceptable overall. The exhibition was average, and the visit matched the expected duration.",3,0,valid
Contact WhatsApp 0117871385 for the best promotion and cheap package.,3,1,spam
The heritage site was interesting. The facilities was amazing and I loved the entire experience.,1,1,rating_mismatch
The waterfront was worth visiting because the architecture was enjoyable. The overall experience was memorable.,4,0,valid
A memorable experience with enjoyable architecture. The visit matched the information shown in the app.,4,0,valid
The gallery was uncomfortable. The entrance process was terrible and I would never recommend this place.,4,1,rating_mismatch
Okay,4,1,too_short
The museum was slow. The service was terrible and I would never recommend this place.,4,1,rating_mismatch
Awesome,5,1,too_short
"The temple was acceptable overall. The overall experience was average, and the visit matched the expected duration.",3,0,valid
Bad,5,1,too_short
The entrance process was rude and the cafe was rude. I would not return during a busy period.,2,0,valid
The park was limited. The staff was terrible and I would never recommend this place.,4,1,rating_mismatch
The food court was rude. The service was terrible and I would never recommend this place.,5,1,rating_mismatch
The street market was friendly. The architecture was amazing and I loved the entire experience.,2,1,rating_mismatch
The waterfront was beautiful. The overall experience was amazing and I loved the entire experience.,2,1,rating_mismatch
"I enjoyed the street market. The facilities was interesting, and the location was easy to visit.",4,0,valid
A comfortable experience with well organised walking route. The visit matched the information shown in the app.,4,0,valid
I did not enjoy the visit because the facilities was noisy. The location also felt uncomfortable.,2,0,valid
bad bad bad bad bad,2,1,repeated
The service was noisy and the museum was crowded. I would not return during a busy period.,2,0,valid
"The heritage site was acceptable overall. The staff was average, and the visit matched the expected duration.",3,0,valid
"The cafe was acceptable overall. The overall experience was average, and the visit matched the expected duration.",3,0,valid
food food food food food,5,1,repeated
The street market was memorable. The exhibition was amazing and I loved the entire experience.,1,1,rating_mismatch
The facilities was beautiful and the cafe felt comfortable. I would include it in another trip.,5,0,valid
"The food court had potential, but the exhibition was slow and the experience was confusing.",2,0,valid
"The visit was below expectations. The exhibition was noisy, although the location was easy to find.",3,0,valid
best best best best best,4,1,repeated
The food court was worth visiting because the service was fresh. The overall experience was enjoyable.,5,0,valid
"The gallery was acceptable overall. The entrance process was average, and the visit matched the expected duration.",3,0,valid
"The visit was below expectations. The overall experience was crowded, although the location was easy to find.",3,0,valid
The park was comfortable. The service was amazing and I loved the entire experience.,2,1,rating_mismatch
Fine,3,1,too_short
The food court was poor. The exhibition was terrible and I would never recommend this place.,5,1,rating_mismatch
The temple was noisy. The walking route was terrible and I would never recommend this place.,4,1,rating_mismatch
"The food court was acceptable overall. The information boards was average, and the visit matched the expected duration.",3,0,valid
The museum was worth visiting because the service was helpful. The overall experience was enjoyable.,4,0,valid
The waterfront was poor. The entrance process was terrible and I would never recommend this place.,4,1,rating_mismatch
"I enjoyed the museum. The seating area was helpful, and the location was easy to visit.",4,0,valid
The museum was well organised. The service was amazing and I loved the entire experience.,1,1,rating_mismatch
I did not enjoy the visit because the service was confusing. The location also felt confusing.,2,0,valid
The cultural centre was clean. The overall experience was amazing and I loved the entire experience.,1,1,rating_mismatch
Visit my website http://cheap-deal4187.example for discount vouchers and free gifts.,5,1,spam
The walking route was disappointing and the heritage site was limited. I would not return during a busy period.,2,0,valid
The cultural centre was friendly. The overall experience was amazing and I loved the entire experience.,2,1,rating_mismatch
The cultural centre was worth visiting because the exhibition was interesting. The overall experience was memorable.,5,0,valid
A fresh experience with beautiful staff. The visit matched the information shown in the app.,4,0,valid
"The heritage site was acceptable overall. The staff was average, and the visit matched the expected duration.",3,0,valid
"I enjoyed the mansion. The service was friendly, and the location was easy to visit.",5,0,valid
The park was worth visiting because the facilities was excellent. The overall experience was memorable.,5,0,valid
Good,4,1,too_short
The food court was overpriced. The facilities was terrible and I would never recommend this place.,4,1,rating_mismatch
"The cafe had potential, but the food was limited and the experience was limited.",2,0,valid
"The park was acceptable overall. The entrance process was average, and the visit matched the expected duration.",3,0,valid
A well organised experience with impressive entrance process. The visit matched the information shown in the app.,5,0,valid
I did not enjoy the visit because the food was poor. The location also felt confusing.,2,0,valid
good good good good good,1,1,repeated
Okay,2,1,too_short
"The gallery was acceptable overall. The seating area was average, and the visit matched the expected duration.",3,0,valid
Great place,2,1,too_short
The restaurant was friendly. The staff was amazing and I loved the entire experience.,1,1,rating_mismatch
The food court was disappointing. The overall experience was terrible and I would never recommend this place.,4,1,rating_mismatch
"I enjoyed the mansion. The entrance process was fresh, and the location was easy to visit.",4,0,valid
Awesome,1,1,too_short
"The street market was acceptable overall. The environment was average, and the visit matched the expected duration.",3,0,valid
"I enjoyed the temple. The food was helpful, and the location was easy to visit.",5,0,valid
A fresh experience with beautiful entrance process. The visit matched the information shown in the app.,4,0,valid
Good,1,1,too_short
The facilities was helpful and the park felt helpful. I would include it in another trip.,5,0,valid
I did not enjoy the visit because the exhibition was stale. The location also felt poor.,1,0,valid
The overall experience was comfortable and the park felt clean. I would include it in another trip.,5,0,valid
bad bad bad bad bad,3,1,repeated
"The gallery had potential, but the architecture was uncomfortable and the experience was limited.",2,0,valid
The environment was rude and the waterfront was overpriced. I would not return during a busy period.,3,0,valid
"I enjoyed the cafe. The environment was interesting, and the location was easy to visit.",4,0,valid
Okay,1,1,too_short
The heritage site was enjoyable. The information boards was amazing and I loved the entire experience.,1,1,rating_mismatch
"I enjoyed the street market. The entrance process was friendly, and the location was easy to visit.",4,0,valid
"The waterfront was acceptable overall. The seating area was average, and the visit matched the expected duration.",3,0,valid
nice nice nice nice,5,1,repeated
The park was worth visiting because the seating area was beautiful. The overall experience was clean.,5,0,valid
The heritage site was slow. The information boards was terrible and I would never recommend this place.,4,1,rating_mismatch
A excellent experience with well organised environment. The visit matched the information shown in the app.,5,0,valid
"The mansion was acceptable overall. The entrance process was average, and the visit matched the expected duration.",3,0,valid
I did not enjoy the visit because the staff was noisy. The location also felt disappointing.,2,0,valid
"The heritage site was acceptable overall. The facilities was average, and the visit matched the expected duration.",3,0,valid
"The heritage site was acceptable overall. The food was average, and the visit matched the expected duration.",3,0,valid
The food court was overpriced. The walking route was terrible and I would never recommend this place.,4,1,rating_mismatch
The cultural centre was disappointing. The walking route was terrible and I would never recommend this place.,5,1,rating_mismatch
The heritage site was worth visiting because the facilities was memorable. The overall experience was well organised.,4,0,valid
"The food court had potential, but the overall experience was dirty and the experience was uncomfortable.",3,0,valid
The gallery was friendly. The service was amazing and I loved the entire experience.,2,1,rating_mismatch
"The food court was acceptable overall. The walking route was average, and the visit matched the expected duration.",3,0,valid
The waterfront was limited. The food was terrible and I would never recommend this place.,4,1,rating_mismatch
"Follow my page for guaranteed discounts, free products and special deals.",3,1,spam
"The gallery was acceptable overall. The environment was average, and the visit matched the expected duration.",3,0,valid
"I enjoyed the cafe. The exhibition was clean, and the location was easy to visit.",4,0,valid
"The restaurant was acceptable overall. The architecture was average, and the visit matched the expected duration.",3,0,valid
good good good good good,1,1,repeated
"Follow my page for guaranteed discounts, free products and special deals.",5,1,spam
The environment was excellent and the cafe felt friendly. I would include it in another trip.,5,0,valid
Awesome,3,1,too_short
Contact WhatsApp 0140107903 for the best promotion and cheap package.,3,1,spam
food food food food food,4,1,repeated
"I enjoyed the waterfront. The information boards was excellent, and the location was easy to visit.",5,0,valid
Visit my website http://cheap-deal2928.example for discount vouchers and free gifts.,3,1,spam
The temple was dirty. The service was terrible and I would never recommend this place.,5,1,rating_mismatch
The heritage site was excellent. The staff was amazing and I loved the entire experience.,1,1,rating_mismatch
Contact WhatsApp 0166604960 for the best promotion and cheap package.,3,1,spam
The facilities was fresh and the gallery felt clean. I would include it in another trip.,5,0,valid
Okay,3,1,too_short
"The heritage site was acceptable overall. The facilities was average, and the visit matched the expected duration.",3,0,valid
The park was worth visiting because the food was fresh. The overall experience was beautiful.,5,0,valid
Good,5,1,too_short
The mansion was stale. The walking route was terrible and I would never recommend this place.,5,1,rating_mismatch
I did not enjoy the visit because the environment was slow. The location also felt dirty.,2,0,valid
"The street market was acceptable overall. The overall experience was average, and the visit matched the expected duration.",3,0,valid
"The visit was below expectations. The food was poor, although the location was easy to find.",2,0,valid
The gallery was limited. The food was terrible and I would never recommend this place.,5,1,rating_mismatch
A comfortable experience with friendly entrance process. The visit matched the information shown in the app.,4,0,valid
Bad,2,1,too_short
"The visit was below expectations. The facilities was slow, although the location was easy to find.",2,0,valid
The walking route was stale and the street market was rude. I would not return during a busy period.,2,0,valid
Buy now and use promo code SAVE8469. Click the link for a limited offer.,4,1,spam
"The cultural centre was acceptable overall. The architecture was average, and the visit matched the expected duration.",3,0,valid
Buy now and use promo code SAVE2229. Click the link for a limited offer.,5,1,spam
The gallery was worth visiting because the entrance process was excellent. The overall experience was excellent.,5,0,valid
The street market was friendly. The facilities was amazing and I loved the entire experience.,2,1,rating_mismatch
Love it,1,1,too_short
bad bad bad bad bad,5,1,repeated
"The visit was below expectations. The overall experience was stale, although the location was easy to find.",2,0,valid
The park was rude. The architecture was terrible and I would never recommend this place.,5,1,rating_mismatch
The cafe was crowded. The information boards was terrible and I would never recommend this place.,4,1,rating_mismatch
"The food court had potential, but the staff was slow and the experience was uncomfortable.",2,0,valid
The waterfront was memorable. The entrance process was amazing and I loved the entire experience.,1,1,rating_mismatch
"The cultural centre was acceptable overall. The environment was average, and the visit matched the expected duration.",3,0,valid
"The museum was acceptable overall. The food was average, and the visit matched the expected duration.",3,0,valid
"The street market had potential, but the seating area was overpriced and the experience was crowded.",1,0,valid
"I enjoyed the cafe. The environment was memorable, and the location was easy to visit.",5,0,valid
The waterfront was worth visiting because the exhibition was helpful. The overall experience was excellent.,4,0,valid
"I enjoyed the restaurant. The facilities was friendly, and the location was easy to visit.",5,0,valid
"I enjoyed the heritage site. The architecture was helpful, and the location was easy to visit.",4,0,valid
The entrance process was uncomfortable and the restaurant was dirty. I would not return during a busy period.,2,0,valid
The staff was helpful and the gallery felt well organised. I would include it in another trip.,4,0,valid
"The visit was below expectations. The entrance process was rude, although the location was easy to find.",2,0,valid
The park was memorable. The seating area was amazing and I loved the entire experience.,2,1,rating_mismatch
The temple was worth visiting because the entrance process was clean. The overall experience was well organised.,4,0,valid
Terrible,2,1,too_short
The heritage site was worth visiting because the information boards was enjoyable. The overall experience was memorable.,4,0,valid
The food court was memorable. The staff was amazing and I loved the entire experience.,2,1,rating_mismatch
"The cultural centre had potential, but the seating area was confusing and the experience was noisy.",1,0,valid
Contact WhatsApp 0151888314 for the best promotion and cheap package.,3,1,spam
"I enjoyed the waterfront. The facilities was clean, and the location was easy to visit.",4,0,valid
The overall experience was clean and the heritage site felt memorable. I would include it in another trip.,5,0,valid
The street market was stale. The walking route was terrible and I would never recommend this place.,4,1,rating_mismatch
The street market was slow. The information boards was terrible and I would never recommend this place.,5,1,rating_mismatch
The temple was slow. The walking route was terrible and I would never recommend this place.,4,1,rating_mismatch
Love it,5,1,too_short
"The gallery was acceptable overall. The architecture was average, and the visit matched the expected duration.",3,0,valid
I did not enjoy the visit because the information boards was limited. The location also felt noisy.,2,0,valid
The food court was impressive. The environment was amazing and I loved the entire experience.,2,1,rating_mismatch
The museum was disappointing. The food was terrible and I would never recommend this place.,5,1,rating_mismatch
"The mansion had potential, but the food was stale and the experience was noisy.",2,0,valid
The entrance process was confusing and the museum was rude. I would not return during a busy period.,3,0,valid
"The visit was below expectations. The entrance process was overpriced, although the location was easy to find.",1,0,valid
Very good,4,1,too_short
"The museum was acceptable overall. The architecture was average, and the visit matched the expected duration.",3,0,valid
"The waterfront was acceptable overall. The facilities was average, and the visit matched the expected duration.",3,0,valid
good good good good good,2,1,repeated
I did not enjoy the visit because the walking route was stale. The location also felt slow.,2,0,valid
"I enjoyed the food court. The service was memorable, and the location was easy to visit.",5,0,valid
The park was crowded. The overall experience was terrible and I would never recommend this place.,4,1,rating_mismatch
I did not enjoy the visit because the information boards was rude. The location also felt uncomfortable.,1,0,valid
The cafe was clean. The service was amazing and I loved the entire experience.,1,1,rating_mismatch
"The visit was below expectations. The staff was confusing, although the location was easy to find.",3,0,valid
The food was fresh and the street market felt enjoyable. I would include it in another trip.,5,0,valid
The food court was disappointing. The food was terrible and I would never recommend this place.,5,1,rating_mismatch
The entrance process was rude and the mansion was slow. I would not return during a busy period.,2,0,valid
great place great place great place,5,1,repeated
The restaurant was beautiful. The walking route was amazing and I loved the entire experience.,2,1,rating_mismatch
"I enjoyed the heritage site. The entrance process was friendly, and the location was easy to visit.",5,0,valid
Love it,5,1,too_short
good good good good good,4,1,repeated
Bad,3,1,too_short
The gallery was dirty. The food was terrible and I would never recommend this place.,5,1,rating_mismatch
"The visit was below expectations. The information boards was poor, although the location was easy to find.",2,0,valid
"The street market was acceptable overall. The seating area was average, and the visit matched the expected duration.",3,0,valid
"The food court was acceptable overall. The walking route was average, and the visit matched the expected duration.",3,0,valid
"The gallery was acceptable overall. The walking route was average, and the visit matched the expected duration.",3,0,valid
"The food court had potential, but the information boards was confusing and the experience was poor.",2,0,valid
great place great place great place,1,1,repeated
A comfortable experience with clean overall experience. The visit matched the information shown in the app.,5,0,valid
Visit my website http://cheap-deal1208.example for discount vouchers and free gifts.,5,1,spam
The entrance process was enjoyable and the park felt comfortable. I would include it in another trip.,5,0,valid
Terrible,1,1,too_short
The heritage site was slow. The staff was terrible and I would never recommend this place.,5,1,rating_mismatch
Best,3,1,too_short
Very good,1,1,too_short
"The food court was acceptable overall. The facilities was average, and the visit matched the expected duration.",3,0,valid
"The food court was acceptable overall. The information boards was average, and the visit matched the expected duration.",3,0,valid
The seating area was helpful and the cafe felt excellent. I would include it in another trip.,5,0,valid
The temple was slow. The information boards was terrible and I would never recommend this place.,5,1,rating_mismatch
A beautiful experience with comfortable exhibition. The visit matched the information shown in the app.,4,0,valid
The temple was well organised. The walking route was amazing and I loved the entire experience.,1,1,rating_mismatch
The park was beautiful. The exhibition was amazing and I loved the entire experience.,1,1,rating_mismatch
The museum was interesting. The environment was amazing and I loved the entire experience.,2,1,rating_mismatch
Contact WhatsApp 0131865061 for the best promotion and cheap package.,3,1,spam
"The waterfront had potential, but the information boards was noisy and the experience was stale.",2,0,valid
"The museum had potential, but the entrance process was rude and the experience was limited.",3,0,valid
The temple was rude. The seating area was terrible and I would never recommend this place.,5,1,rating_mismatch
"Follow my page for guaranteed discounts, free products and special deals.",5,1,spam
great place great place great place,2,1,repeated
The service was well organised and the gallery felt clean. I would include it in another trip.,5,0,valid
Bad,5,1,too_short
"I enjoyed the waterfront. The entrance process was impressive, and the location was easy to visit.",4,0,valid
"I enjoyed the waterfront. The information boards was interesting, and the location was easy to visit.",5,0,valid
"I enjoyed the waterfront. The walking route was well organised, and the location was easy to visit.",5,0,valid
great place great place great place,1,1,repeated
Buy now and use promo code SAVE4262. Click the link for a limited offer.,4,1,spam
The gallery was worth visiting because the seating area was fresh. The overall experience was beautiful.,5,0,valid
good good good good good,4,1,repeated
The food court was noisy. The food was terrible and I would never recommend this place.,5,1,rating_mismatch
The waterfront was limited. The food was terrible and I would never recommend this place.,4,1,rating_mismatch
The cafe was well organised. The exhibition was amazing and I loved the entire experience.,2,1,rating_mismatch
The food was helpful and the museum felt memorable. I would include it in another trip.,5,0,valid
Very good,4,1,too_short
A comfortable experience with excellent architecture. The visit matched the information shown in the app.,4,0,valid
The service was interesting and the heritage site felt comfortable. I would include it in another trip.,4,0,valid
"The heritage site had potential, but the service was disappointing and the experience was stale.",2,0,valid
"The heritage site had potential, but the seating area was stale and the experience was crowded.",2,0,valid
A impressive experience with friendly seating area. The visit matched the information shown in the app.,5,0,valid
"The street market was acceptable overall. The architecture was average, and the visit matched the expected duration.",3,0,valid
The street market was noisy. The facilities was terrible and I would never recommend this place.,5,1,rating_mismatch
"The restaurant had potential, but the seating area was uncomfortable and the experience was dirty.",2,0,valid
The museum was worth visiting because the information boards was impressive. The overall experience was excellent.,5,0,valid
The food court was worth visiting because the environment was fresh. The overall experience was comfortable.,5,0,valid
A comfortable experience with beautiful entrance process. The visit matched the information shown in the app.,4,0,valid
The museum was worth visiting because the exhibition was comfortable. The overall experience was friendly.,4,0,valid
good good good good good,3,1,repeated
I did not enjoy the visit because the overall experience was disappointing. The location also felt confusing.,3,0,valid
great place great place great place,1,1,repeated
The mansion was confusing. The service was terrible and I would never recommend this place.,5,1,rating_mismatch
Okay,5,1,too_short
Buy now and use promo code SAVE9148. Click the link for a limited offer.,4,1,spam
The temple was friendly. The overall experience was amazing and I loved the entire experience.,1,1,rating_mismatch
"I enjoyed the gallery. The staff was fresh, and the location was easy to visit.",5,0,valid
The seating area was uncomfortable and the mansion was overpriced. I would not return during a busy period.,2,0,valid
"I enjoyed the food court. The staff was beautiful, and the location was easy to visit.",4,0,valid
bad bad bad bad bad,1,1,repeated
"The visit was below expectations. The service was confusing, although the location was easy to find.",3,0,valid
Buy now and use promo code SAVE2069. Click the link for a limited offer.,4,1,spam
The cultural centre was worth visiting because the architecture was excellent. The overall experience was excellent.,5,0,valid
Buy now and use promo code SAVE6873. Click the link for a limited offer.,3,1,spam
best best best best best,3,1,repeated
food food food food food,5,1,repeated
Visit my website http://cheap-deal6123.example for discount vouchers and free gifts.,3,1,spam
"I enjoyed the temple. The seating area was beautiful, and the location was easy to visit.",5,0,valid
"The heritage site had potential, but the walking route was uncomfortable and the experience was noisy.",3,0,valid
bad bad bad bad bad,2,1,repeated
The museum was crowded. The service was terrible and I would never recommend this place.,5,1,rating_mismatch
The museum was enjoyable. The exhibition was amazing and I loved the entire experience.,2,1,rating_mismatch
The mansion was uncomfortable. The exhibition was terrible and I would never recommend this place.,4,1,rating_mismatch
"The mansion was acceptable overall. The staff was average, and the visit matched the expected duration.",3,0,valid
The service was uncomfortable and the cultural centre was stale. I would not return during a busy period.,2,0,valid
"The temple had potential, but the architecture was confusing and the experience was overpriced.",2,0,valid
"The mansion had potential, but the staff was poor and the experience was slow.",1,0,valid
A memorable experience with enjoyable food. The visit matched the information shown in the app.,5,0,valid
Visit my website http://cheap-deal2480.example for discount vouchers and free gifts.,4,1,spam
Contact WhatsApp 0189147232 for the best promotion and cheap package.,3,1,spam
"The visit was below expectations. The seating area was stale, although the location was easy to find.",2,0,valid
"The food court was acceptable overall. The facilities was average, and the visit matched the expected duration.",3,0,valid
Nice,2,1,too_short
A comfortable experience with clean overall experience. The visit matched the information shown in the app.,4,0,valid
good good good good good,4,1,repeated
The gallery was confusing. The architecture was terrible and I would never recommend this place.,4,1,rating_mismatch
